1,1,235.93,770.14,135.62,330.89,1,1,1
1,2,285.75,291.42,84.81,202.00,1,1,1
1,3,286.85,230.50,78.94,185.91,1,1,1
1,4,719.71,220.83,67.19,187.31,1,1,1
1,5,793.72,235.41,67.71,192.22,1,1,1
1,6,876.42,392.14,79.92,236.27,1,1,1
1,7,656.18,994.59,135.40,392.74,1,1,1
1,8,1607.14,601.73,109.95,291.07,1,1,1
1,9,1615.59,890.12,132.51,387.51,1,1,1
1,10,1790.45,174.28,87.00,185.17,1,1,1
1,11,1645.40,113.40,68.31,164.47,1,1,1
1,12,1459.90,28.55,51.80,138.47,1,1,1
1,13,1361.50,10.46,47.33,132.19,1,1,1
1,14,890.29,73.97,52.65,146.74,1,1,1
2,1,227.84,773.51,136.33,332.19,1,1,1
2,2,280.55,293.50,85.26,202.53,1,1,1
2,3,291.68,230.12,78.68,185.81,1,1,1
2,4,722.66,218.16,66.91,186.59,1,1,1
2,5,796.92,233.92,67.54,191.82,1,1,1
2,6,872.86,393.82,80.13,236.69,1,1,1
2,7,661.66,989.59,134.87,390.58,1,1,1
2,8,1606.47,604.28,110.16,291.75,1,1,1
2,9,1619.38,894.52,132.92,389.89,1,1,1
2,10,1792.74,173.64,87.22,185.13,1,1,1
2,11,1645.06,113.47,68.29,164.48,1,1,1
2,12,1461.26,27.96,51.81,138.34,1,1,1
2,13,1365.53,8.44,47.29,131.71,1,1,1
2,14,892.16,72.40,52.50,146.30,1,1,1
3,1,219.69,778.58,137.21,334.05,1,1,1
3,2,275.16,296.78,85.84,203.37,1,1,1
3,3,296.71,228.87,78.32,185.49,1,1,1
3,4,725.53,215.61,66.65,185.89,1,1,1
3,5,800.41,233.11,67.43,191.62,1,1,1
3,6,869.10,395.99,80.40,237.24,1,1,1
3,7,667.30,983.49,134.26,388.04,1,1,1
3,8,1606.48,606.30,110.35,292.31,1,1,1
3,9,1623.57,899.61,133.38,392.66,1,1,1
3,10,1795.23,172.85,87.46,185.07,1,1,1
3,11,1645.02,113.51,68.29,164.49,1,1,1
3,12,1462.55,27.31,51.81,138.20,1,1,1
3,13,1369.61,6.52,47.26,131.27,1,1,1
3,14,894.11,71.12,52.37,145.95,1,1,1
4,1,211.75,784.63,138.16,336.26,1,1,1
4,2,269.82,299.82,86.41,204.16,1,1,1
4,3,301.44,226.92,77.92,184.98,1,1,1
4,4,728.24,213.60,66.44,185.35,1,1,1
4,5,803.89,232.55,67.34,191.50,1,1,1
4,6,865.04,398.99,80.74,238.01,1,1,1
4,7,672.87,976.31,133.57,385.15,1,1,1
4,8,1607.12,608.01,110.55,292.79,1,1,1
4,9,1627.54,905.73,133.86,395.94,1,1,1
4,10,1797.80,172.50,87.75,185.12,1,1,1
4,11,1645.29,113.59,68.32,164.52,1,1,1
4,12,1463.87,27.59,51.88,138.30,1,1,1
4,13,1373.39,4.50,47.21,130.80,1,1,1
4,14,896.05,69.97,52.26,145.63,1,1,1
5,1,203.99,791.57,139.18,338.79,1,1,1
